"oid","selectionName","subjectArea","maxSelections","minSelections","allowAlternates","sequenceNumber","instructions","gradeLevel","academicTrackOid"
"ATS000002nzscx","Music Electives","Music Elect. - all year","4","0","false","91","<p>Choir, Class Piano, Class Guitar, Composition Class, Music History, and Jazz History are open to all students. If you would like to take these courses all year, please select both of the listed semesters.</p><p>Theory A-D courses are available dependent on space and placement is based on testing.</p><p>*30-minute private lessons are available at an additional fee and are dependent upon available space and an audition. If you are interested in one of the lessons listed below, please select that lesson. This selection will NOT be in your schedule until you have met all above requirements. If your instrument is not listed, please leave a message in the <strong>Notes for Counselor </strong>section.</p>","10","ATR000002nzscf"
"ATS000002nzscy","Theatre Electives -Full Year","Theatre Elect -all year","2","0","true","111","<p>As a non-Theatre student, the following electives are available to you.  If you are interested in taking another Theatre class, there must be space available in the class and you may have to audition for Theatre in order to be eligible. Odd numbered courses are semester 1; even are semester 2. Fundamentals of Design is a year-long course; all others are one semester.</p><p>To read more about Theatre Performance offerings please click <a href=""https://docs.google.com/document/d/1Uc6huvKq7EYUyrweKb1Hd8UlLKQDToyWVo3IPrFe2dQ/edit"" target=""_blank"">here</a>.</p><p>To learn more about Technical Theatre classes click <a href=""https://docs.google.com/document/d/1Tl97EgLqmoN_Q9dW7wf6Id1icsdo1cNT1xhbEY29BcM/edit"" target=""_blank"">here</a>.</p>","10","ATR000002nzscf"
"ATS000002nzsd0","English - Semester 1","English - Semester 1","1","1","false","8","<p>As a sophomore you must enroll in English II. To read more about the English II curriculum please click <a href=""https://docs.google.com/document/d/1rHC3oGC7vlH9HqeorpJ0-85Ggvs7C7xzuJ7CrSoxHdE/edit"" target=""_blank"">here</a>.</p><p>If English is your second language, please select EL Placement Needed.</p>","10","ATR000002nzscf"
"ATS000002olRey","Visual Arts Electives","VA Elect - all year","2","0","true","102","<p>As a non-Visual Arts major, the following electives are available based on space in the class. Aesthetics of Health and The Art of Ecology are year-long courses; please select both semesters if you choose those classes. Odd numbered courses are semester 1; even are semester 2.</p>","10","ATR000002nzscf"
"ATS000002uGW3X","Interlochen 101","Interlochen 101","1","0","false","0","<p>This course is required for new sophomores.</p>","10","ATR000002nzscf"
"ATS000002nzsd1","Creative Writing Electives","Cr. Writ. Elect - Sem1&2","2","0","false","81","<p>You are eligible to take any one of the following electives.  However, your ability to take any of these courses may depend upon available space. The odd numbered courses are first semester and the even numbered courses are second semester.</p><p>To read more about Creative Writing courses please click<a href=""https://docs.google.com/document/d/1NPLvc7g_32GaLVup1hybz19n0gAO0MvjgbHyei5qnwQ/edit"" target=""_blank""> here</a>.</p>","09","ATR000002nzscf"
"ATS000002nzsd2","English - Semester 1","English - Semester 1","1","1","false","5","<p>As a freshman you must enroll in English I. To read more about the English I curriculum please click <a href=""https://docs.google.com/document/d/1rHC3oGC7vlH9HqeorpJ0-85Ggvs7C7xzuJ7CrSoxHdE/edit"" target=""_blank"">here</a>.</p><p>If English is your second language, please select EL Placement Needed.</p><p> </p>","09","ATR000002nzscf"
"ATS000002nzsd3","World Languages - All Year","World Lang. - Sem. 1 & 2","2","0","true","50","<p>Please be sure to select both semesters of your world language course which are listed below. Odd numbered courses are semester 1; even are semester 2.</p><p>To learn more about our World Language courses please click <a href=""https://docs.google.com/document/d/1YTibTDItY70180jYwZZJaZNc1w9T7CYUMCFktdPaoh0/edit"" target=""_blank"">here</a>.</p>","09","ATR000002nzscf"
"ATS000002nzsd4","Science - All Year","Science - Semester 1 & 2","2","2","false","40","<p>Biology is our 9th grade science offering. Most freshmen should choose this course.</p><p>If you have completed high school level biology and are currently enrolled in Algebra II or higher, you are eligible for Chemistry or Physics.  </p><p>To read more about the Science department's offerings please click <a href=""https://docs.google.com/document/d/1H-x-y3lLhkRrpTfK4gjZmCGPx-fLmnhU7ZqDlOQzNoU/edit"" target=""_blank"">here</a>.</p><p>If you are selecting a science course, be sure to select both semesters of the course listed below. Odd numbered courses are semester 1; even are semester 2.</p>","09","ATR000002nzscf"
"ATS000002nzsd5","History - Semester 1","History - Semester 1","1","0","false","30","<p>Most freshman will <strong>NOT </strong>select this course. A typical freshman schedule includes English, Math, Biology, and World Language.  If you have already taken high-school level Biology or you are bilingual and will not study Spanish or French, you may select this course and provide an explanation in the <strong>Notes to Counselor</strong> section.</p><p>To read more about the History department please click <a href=""https://docs.google.com/document/d/1-65WVmXc7dKXwXcoYWxO1fNzzk1FI8pko5m4m59armQ/edit"" target=""_blank"">here</a>.</p>","09","ATR000002nzscf"
"ATS000002nzsd7","MPA Electives - year long","MPA Elect - Sem 1 & 2","2","0","false","120","<p>Story is first semester and Great Directors is second semester.</p><p>To read more about Motion Picture Arts courses please click <a href=""https://docs.google.com/document/d/116uodPCsBYXq9YNPb0nIrcWHfbDdlIifF_A5TzxqFYA/edit"" target=""_blank"">here</a>.</p>","09","ATR000002nzscf"
"ATS000002nzsd8","Theatre Electives -Full Year","Theatre Elect -all year","2","0","true","110","<p>As a non-Theatre student, the following electives are available to you.  If you are interested in taking another Theatre class, there must be space available in the class and you may have to audition for Theatre in order to be eligible. Odd numbered courses are semester 1; even are semester 2. Fundamentals of Design is a year-long course; all others are one semester.</p><p>To read more about Theatre Performance offerings please click <a href=""https://docs.google.com/document/d/1Uc6huvKq7EYUyrweKb1Hd8UlLKQDToyWVo3IPrFe2dQ/edit"" target=""_blank"">here</a>.</p><p>To learn more about Technical Theatre classes click <a href=""https://docs.google.com/document/d/1Tl97EgLqmoN_Q9dW7wf6Id1icsdo1cNT1xhbEY29BcM/edit"" target=""_blank"">here</a>.</p>","09","ATR000002nzscf"
"ATS000002nzsd9","English - Semester 2","English - Semester 2","1","1","false","15","<p>As a freshman you must enroll in English I. To read more about the English I curriculum please click <a href=""https://docs.google.com/document/d/1rHC3oGC7vlH9HqeorpJ0-85Ggvs7C7xzuJ7CrSoxHdE/edit"" target=""_blank"">here</a>.</p><p>If English is your second language, please select EL Placement needed.</p>","09","ATR000002nzscf"
"ATS000002nzsdA","History - Semester 2","History - Semester 2","1","0","false","35","<p>Most freshman will <strong>NOT </strong>select this course. A typical freshman schedule includes English, Math, Biology, and World Language.  If you have already taken high-school level Biology or you are bilingual and will not study Spanish or French, you may select this course and provide an explanation in the <strong>Notes to Counselor</strong> section.</p><p>To read more about the History department please click <a href=""https://docs.google.com/document/d/1-65WVmXc7dKXwXcoYWxO1fNzzk1FI8pko5m4m59armQ/edit"" target=""_blank"">here</a>.</p>","09","ATR000002nzscf"
"ATS000002nzsdB","Math - All Year","Math - Semester 1 & 2","2","0","false","21","<p>Math courses are year-long and are typically taken in this order: Algebra I, Geometry, Algebra II, Advanced Math or Precalculus, AP Calculus or AP Statistics. Be sure to select both semesters of the course you choose to take. (First semester courses end in an odd number; second semester, even).</p><p>Interlochen requires two years of math to graduate, but most colleges require three to four years of math, including at least one year beyond Algebra II.</p><p>If you have completed Algebra II, please read the course descriptions for Advanced Math and Precalculus to determine which course is the best option for you.</p><p>To read more about the Math department click <a href=""https://docs.google.com/document/d/1rtHhjuMD5B0eAQWAq-s5UWtB4WDHNxSQk-TNRyg023c/edit"" target=""_blank"">here</a>.</p>","09","ATR000002nzscf"
"ATS000002nzsdC","Dance Electives - Sem. 1 & 2","Dance Elect - Sem. 1 & 2","6","0","false","60","<p>Dance 101 is semester 1 and Dance 102 is semester 2.</p><p><br /> </p>","09","ATR000002nzscf"
"ATS000002nzsdD","Music Electives","Music Elect. - all year","4","0","false","91","<p>Choir, Class Piano, Class Guitar and Composition Class are open to all students. If you would like to take these courses all year, please select both of the listed semesters.</p><p>Theory A-D courses are available dependent on space and placement is based on testing.</p><p>*30-minute private lessons are available at an additional fee and are dependent upon available space and an audition. If you are interested in one of the lessons listed below, please select that lesson. This selection will NOT be in your schedule until you have met all above requirements. If your instrument is not listed, please leave a message in the <strong>Notes for Counselor </strong>section.</p>","09","ATR000002nzscf"
"ATS000002nzsdE","Visual Arts Electives","VA Elect - all year","2","0","true","102","<p>As a non-Visual Arts major, the following electives are available based on space in the class. Aesthetics of Health and The Art of Ecology are year-long courses; please select both semesters if you choose those classes. Odd numbered courses are semester 1; even are semester 2.</p>","09","ATR000002nzscf"
"ATS000002uGFTx","Comparative Arts Required Courses - year long","Arts Required - Sem 1 & 2","2","2","false","61","<p>As a Comparative Arts sophomore you must select both semesters of The Creative Process: Comparative Arts Seminar.</p>","09","ATR000002nzscf"
"ATS000002uGW3K","Interlochen 101","Interlochen 101","1","1","false","0","","09","ATR000002nzscf"
"ATS000002nzsdF","MPA Electives - year long","MPA Elect - Sem 1 & 2","2","0","false","123","<p>Story is first semester and Great Directors is second semester. </p><p>To read more about Motion Picture Arts courses please click <a href=""https://docs.google.com/document/d/116uodPCsBYXq9YNPb0nIrcWHfbDdlIifF_A5TzxqFYA/edit"" target=""_blank"">here</a>.</p>","12","ATR000002nzscf"
"ATS000002nzsdG","World Languages - All Year","World Lang. - Sem. 1 & 2","2","0","true","53","<p>Please be sure to select both semesters of your world language course which are listed below. Odd numbered courses are semester 1; even are semester 2.</p><p>To learn more about our World Language courses please click <a href=""https://docs.google.com/document/d/1YTibTDItY70180jYwZZJaZNc1w9T7CYUMCFktdPaoh0/edit"" target=""_blank"">here</a>.</p><p> </p>","12","ATR000002nzscf"
"ATS000002nzsdH","Science - All Year","Science - Semester 1 & 2","2","0","true","43","<p>As a senior, it is recommended that you take at least one math class or one science class.</p><p>Chemistry, Physics, and Ecology are year-long courses, so you should select both semester below; all other courses are semester-long. Courses ending in an odd number are first semester; even numbers are second semester.</p><p>To read more about the Science department's offerings please click <a href=""https://docs.google.com/document/d/1H-x-y3lLhkRrpTfK4gjZmCGPx-fLmnhU7ZqDlOQzNoU/edit"" target=""_blank"">here</a>.</p><p> </p>","12","ATR000002nzscf"
"ATS000002nzsdI","History - Semester 1","History - Semester 1","1","0","true","33","<p>As a senior you should make sure that you have taken one full credit of US History and one full credit of World History.  If you have not, you must select a course below.  If you would like to read more about the course descriptions, please click <a href=""https://docs.google.com/document/d/1-65WVmXc7dKXwXcoYWxO1fNzzk1FI8pko5m4m59armQ/edit"" target=""_blank"">here</a>.</p><p>Not all seniors will take a history elective. If you have questions about meeting the graduation requirement, please leave a message in the <strong>Notes for Counselor </strong>section.</p><p> </p>","12","ATR000002nzscf"
"ATS000002nzsdJ","History - Semester 2","History - Semester 2","1","0","true","38","<p>As a senior you should make sure that you have taken one full credit of US History and one full credit of World History.  If you have not, you must select a course below.  If you would like to read more about the course descriptions, please click <a href=""https://docs.google.com/document/d/1-65WVmXc7dKXwXcoYWxO1fNzzk1FI8pko5m4m59armQ/edit"" target=""_blank"">here</a>.</p><p>Not all seniors will take a history elective. If have questions about meeting the graduation requirement, please leave a message in the <strong>Notes for Counselor </strong>section.</p>","12","ATR000002nzscf"
"ATS000002nzsdL","Math - All Year","Math - Semester 1 & 2","3","0","false","21","<p>Math courses are year-long and are typically taken in this order: Algebra I, Geometry, Algebra II, Advanced Math or Precalculus, AP Calculus or AP Statistics. Be sure to select both semesters of the course you choose to take. (First semester courses end in an odd number; second semester, even). Computer Science Discoveries is a semester-long elective that is offered both semesters.</p><p>Interlochen requires two years of math to graduate, but most colleges require three to four years of math, including at least one year beyond Algebra II.</p><p>If you have completed Algebra II, please read the course descriptions for Advanced Math and Precalculus to determine which course is the best option for you.</p><p>To read more about the Math department click <a href=""https://docs.google.com/document/d/1rtHhjuMD5B0eAQWAq-s5UWtB4WDHNxSQk-TNRyg023c/edit"" target=""_blank"">here</a>.</p>","12","ATR000002nzscf"
"ATS000002nzsdM","Creative Writing Electives","Cr. Writ. Elect - Sem1&2","2","0","false","82","<p>You are eligible to take any one of the following electives.  However, your ability to take any of these courses may depend upon available space. The odd numbered courses are first semester and the even numbered courses are second semester.</p><p>To read more about Creative Writing courses please click<a href=""https://docs.google.com/document/d/1NPLvc7g_32GaLVup1hybz19n0gAO0MvjgbHyei5qnwQ/edit"" target=""_blank""> here</a>.</p>","12","ATR000002nzscf"
"ATS000002nzsdO","Dance Electives - Sem. 1 & 2","Dance Elect - Sem. 1 & 2","6","0","false","60","<p>Dance 101 is semester 1 and Dance 102 is semester 2.</p><p><br /> </p>","12","ATR000002nzscf"
"ATS000002nzsdP","Music Electives","Music Elect. - all year","4","0","false","91","<p>Choir, Class Piano, Class Guitar, Composition Class, Music History, and Jazz History are open to all students. If you would like to take these courses all year, please select both of the listed semesters.</p><p>Theory A-D courses are available dependent on space and placement is based on testing.</p><p>*30-minute private lessons are available at an additional fee and are dependent upon available space and an audition. If you are interested in one of the lessons listed below, please select that lesson. This selection will NOT be in your schedule until you have met all above requirements. If your instrument is not listed, please leave a message in the <strong>Notes for Counselor </strong>section.</p>","12","ATR000002nzscf"
"ATS000002nzsdQ","English - Semester 1","English - Semester 1","2","1","true","10","<p>Please select <strong>ONE</strong> English course per semester. To read more about the English department offerings please click <a href=""https://docs.google.com/document/d/1rHC3oGC7vlH9HqeorpJ0-85Ggvs7C7xzuJ7CrSoxHdE/edit"" target=""_blank"">here</a>. To read more about Creative Writing courses that may be taken for English credit, please click <a href=""https://docs.google.com/document/d/1NPLvc7g_32GaLVup1hybz19n0gAO0MvjgbHyei5qnwQ/edit"" target=""_blank"">here</a>. If English is your second language, please select EL Placement Needed.</p><p> </p>","12","ATR000002nzscf"
"ATS000002olAg3","Theatre Electives -Full Year","Theatre Elect -all year","2","0","true","111","<p>As a non-Theatre student, the following electives are available to you.  If you are interested in taking another Theatre class, there must be space available in the class and you may have to audition for Theatre in order to be eligible. Odd numbered courses are semester 1; even are semester 2. Fundamentals of Design is a year-long course; all others are one semester.</p><p>To read more about Theatre Performance offerings please click <a href=""https://docs.google.com/document/d/1Uc6huvKq7EYUyrweKb1Hd8UlLKQDToyWVo3IPrFe2dQ/edit"" target=""_blank"">here</a>.</p><p>To learn more about Technical Theatre classes click <a href=""https://docs.google.com/document/d/1Tl97EgLqmoN_Q9dW7wf6Id1icsdo1cNT1xhbEY29BcM/edit"" target=""_blank"">here</a>.</p>","12","ATR000002nzscf"
"ATS000002olRfG","Visual Arts Electives","VA Elect - all year","2","0","true","102","<p>As a non-Visual Arts major, the following electives are available based on space in the class. Aesthetics of Health and The Art of Ecology are year-long courses; please select both semesters if you choose those classes. Odd numbered courses are semester 1; even are semester 2.</p>","12","ATR000002nzscf"
"ATS000002uGFU9","Comparative Arts Required Courses - year long","Arts Required - Sem 1 & 2","2","2","false","61","<p>As a Comparative Arts sophomore you must select both semesters of The Creative Process: Comparative Arts Seminar.</p>","12","ATR000002nzscf"
"ATS000002xkT9s","English - Semester 2","English - Semester 2","2","0","true","18","<p>Please select <strong>ONE</strong> English course per semester.  To read more about the English department offerings please click <a href=""https://docs.google.com/document/d/1rHC3oGC7vlH9HqeorpJ0-85Ggvs7C7xzuJ7CrSoxHdE/edit"" target=""_blank"">here</a>. To read more about Creative Writing offerings that may be taken for English credit, click <a href=""https://docs.google.com/document/d/1NPLvc7g_32GaLVup1hybz19n0gAO0MvjgbHyei5qnwQ/edit"" target=""_blank"">here</a>.</p><p>If English is your second language, please select EL Placement needed.</p>","12","ATR000002nzscf"
"ATS000002nzsdb","Creative Writing Electives","Cr. Writ. Elect - Sem1&2","2","0","false","82","<p>You are eligible to take any one of the following electives.  However, your ability to take any of these courses may depend upon available space. The odd numbered courses are first semester and the even numbered courses are second semester.</p><p>To read more about Creative Writing courses please click<a href=""https://docs.google.com/document/d/1NPLvc7g_32GaLVup1hybz19n0gAO0MvjgbHyei5qnwQ/edit"" target=""_blank""> here</a>.</p>","11","ATR000002nzscf"
"ATS000002nzsdc","MPA Electives - year long","MPA Elect - Sem 1 & 2","2","0","false","122","<p>Story is first semester and Great Directors is second semester.  </p><p>To read more about Motion Picture Arts courses please click <a href=""https://docs.google.com/document/d/116uodPCsBYXq9YNPb0nIrcWHfbDdlIifF_A5TzxqFYA/edit"" target=""_blank"">here</a>.</p>","11","ATR000002nzscf"
"ATS000002nzsde","Math - All Year","Math - Semester 1 & 2","3","0","false","21","<p>Math courses are year-long and are typically taken in this order: Algebra I, Geometry, Algebra II, Advanced Math or Precalculus, AP Calculus or AP Statistics. Be sure to select both semesters of the course you choose to take. (First semester courses end in an odd number; second semester, even). Computer Science Discoveries is a semester-long elective that is offered both semesters.</p><p>Interlochen requires two years of math to graduate, but most colleges require three to four years of math, including at least one year beyond Algebra II.</p><p>If you have completed Algebra II, please read the course descriptions for Advanced Math and Precalculus to determine which course is the best option for you.</p><p>To read more about the Math department click <a href=""https://docs.google.com/document/d/1rtHhjuMD5B0eAQWAq-s5UWtB4WDHNxSQk-TNRyg023c/edit"" target=""_blank"">here</a>.</p>","11","ATR000002nzscf"
"ATS000002nzsdg","Dance Electives - Sem. 1 & 2","Dance Elect - Sem. 1 & 2","6","0","false","60","<p>Dance 101 is semester 1 and Dance 102 is semester 2.</p><p><br /> </p>","11","ATR000002nzscf"
"ATS000002nzsdh","Music Electives","Music Elect. - all year","4","0","false","91","<p>Choir, Class Piano, Class Guitar, Composition Class, Music History, and Jazz History are open to all students. If you would like to take these courses all year, please select both of the listed semesters.</p><p>Theory A-D courses are available dependent on space and placement is based on testing.</p><p>*30-minute private lessons are available at an additional fee and are dependent upon available space and an audition. If you are interested in one of the lessons listed below, please select that lesson. This selection will NOT be in your schedule until you have met all above requirements. If your instrument is not listed, please leave a message in the <strong>Notes for Counselor </strong>section.</p>","11","ATR000002nzscf"
"ATS000002nzsdS","History - Semester 1","History - Semester 1","1","0","true","32","<p>Students are required to take one full credit of history during their junior or senior year in order to graduate. If you would like to read more about the course descriptions and the graduation requirement, please click <a href=""https://docs.google.com/document/d/1-65WVmXc7dKXwXcoYWxO1fNzzk1FI8pko5m4m59armQ/edit"" target=""_blank"">here</a>. If you have questions, please leave a message in the <strong>Notes to Counselor</strong> section.</p>","11","ATR000002nzscf"
"ATS000002nzsdW","World Languages - All Year","World Lang. - Sem. 1 & 2","2","0","true","52","<p>Please be sure to select both semesters of your world language course which are listed below. Odd numbered courses are semester 1; even are semester 2.</p><p>To learn more about our World Language courses please click <a href=""https://docs.google.com/document/d/1YTibTDItY70180jYwZZJaZNc1w9T7CYUMCFktdPaoh0/edit"" target=""_blank"">here</a>.</p>","11","ATR000002nzscf"
"ATS000002nzsdX","Science - All Year","Science - Semester 1 & 2","2","0","true","42","<p>Most students should aim to take three years of science by the time they graduate. Chemistry, Physics, and Ecology are year-long courses, so you should select both semester below; all other courses are semester-long. Courses ending in an odd number are first semester; even numbers are second semester.</p><p>To read more about the Science department's offerings please click <a href=""https://docs.google.com/document/d/1H-x-y3lLhkRrpTfK4gjZmCGPx-fLmnhU7ZqDlOQzNoU/edit"" target=""_blank"">here</a>.</p>","11","ATR000002nzscf"
"ATS000002nzsdZ","History - Semester 2","History - Semester 2","2","0","true","37","<p>Students are required to take one full credit of history during their junior or senior year in order to graduate. If you would like to read more about the course descriptions and the graduation requirement, please click <a href=""https://docs.google.com/document/d/1-65WVmXc7dKXwXcoYWxO1fNzzk1FI8pko5m4m59armQ/edit"" target=""_blank"">here</a>. If you have questions, please leave a message in the <strong>Notes to Counselor</strong> section.</p>","11","ATR000002nzscf"
"ATS000002olAft","Theatre Electives -Full Year","Theatre Elect -all year","2","0","true","111","<p>As a non-Theatre student, the following electives are available to you.  If you are interested in taking another Theatre class, there must be space available in the class and you may have to audition for Theatre in order to be eligible. Odd numbered courses are semester 1; even are semester 2. Fundamentals of Design is a year-long course; all others are one semester.</p><p>To read more about Theatre Performance offerings please click <a href=""https://docs.google.com/document/d/1Uc6huvKq7EYUyrweKb1Hd8UlLKQDToyWVo3IPrFe2dQ/edit"" target=""_blank"">here</a>.</p><p>To learn more about Technical Theatre classes click <a href=""https://docs.google.com/document/d/1Tl97EgLqmoN_Q9dW7wf6Id1icsdo1cNT1xhbEY29BcM/edit"" target=""_blank"">here</a>.</p>","11","ATR000002nzscf"
"ATS000002olRf7","Visual Arts Electives","VA Elect - all year","2","0","true","102","<p>As a non-Visual Arts major, the following electives are available based on space in the class. Aesthetics of Health and The Art of Ecology are year-long courses; please select both semesters if you choose those classes. Odd numbered courses are semester 1; even are semester 2.</p>","11","ATR000002nzscf"
"ATS000002uGFbQ","English - Semester 1","English - Semester 1","1","1","false","10","<p>Most juniors should select English III below. If English is your second language, please select EL Placement Needed. To read more about Creative Writing courses that may be taken for English III credit, please click <a href=""https://docs.google.com/document/d/1NPLvc7g_32GaLVup1hybz19n0gAO0MvjgbHyei5qnwQ/edit"" target=""_blank"">here</a>. </p><p> </p>","11","ATR000002nzscf"
"ATS000002uGFdL","English - Semester 2","English - Semester 2","1","1","true","18","<p>Most juniors should select English III below. If English is your second language, please select EL Placement Needed. To read more about Creative Writing courses that may be taken for English III credit, please click <a href=""https://docs.google.com/document/d/1NPLvc7g_32GaLVup1hybz19n0gAO0MvjgbHyei5qnwQ/edit"" target=""_blank"">here</a>. </p>","11","ATR000002nzscf"
"ATS000002uGFU3","Comparative Arts Required Courses - year long","Arts Required - Sem 1 & 2","2","2","false","61","<p>As a Comparative Arts sophomore you must select both semesters of The Creative Process: Comparative Arts Seminar.</p>","11","ATR000002nzscf"
"ATS000002nzsdj","Dance Electives - Sem. 1 & 2","Dance Elect - Sem. 1 & 2","6","0","false","60","<p>Dance 101 is semester 1 and Dance 102 is semester 2.</p><p><br /> </p>","13","ATR000002nzscf"
"ATS000002nzsdk","Music Electives","Music Elect. - all year","4","0","false","91","<p>Choir, Class Piano, Class Guitar, Composition Class, Music History, and Jazz History are open to all students. If you would like to take these courses all year, please select both of the listed semesters.Theory A-D courses are available dependent on space and placement is based on testing.</p><p>*30-minute private lessons are available at an additional fee and are dependent upon available space and an audition. If you are interested in one of the lessons listed below, please select that lesson. This selection will NOT be in your schedule until you have met all above requirements. If your instrument is not listed, please leave a message in the <strong>Notes for Counselor </strong>section.</p>","13","ATR000002nzscf"
"ATS000002nzsdl","History - Semester 1","History - Semester 1","1","0","true","34","<p>Taking History as a Post-Graduate is optional. To read more about the History department please click <a href=""https://docs.google.com/document/d/1-65WVmXc7dKXwXcoYWxO1fNzzk1FI8pko5m4m59armQ/edit"" target=""_blank"">here</a>.</p>","13","ATR000002nzscf"
"ATS000002nzsdm","World Languages - All Year","World Lang. - Sem. 1 & 2","2","0","true","54","<p>Please be sure to select both semesters of your world language course which are listed below. Odd numbered courses are semester 1; even are semester 2.</p><p>To learn more about our World Language courses please click <a href=""https://docs.google.com/document/d/1YTibTDItY70180jYwZZJaZNc1w9T7CYUMCFktdPaoh0/edit"" target=""_blank"">here</a>.</p><p> </p>","13","ATR000002nzscf"
"ATS000002nzsdo","MPA Electives - year long","MPA Elect - Sem 1 & 2","2","0","false","124","<p>	Story is first semester and Great Directors is second semester.</p><p>	To read more about Motion Picture Arts courses please click <a href=""https://docs.google.com/document/d/116uodPCsBYXq9YNPb0nIrcWHfbDdlIifF_A5TzxqFYA/edit"" target=""_blank"">here</a>.</p>","13","ATR000002nzscf"
